date,stock_code,buy_or_sell
2021-01-15,2330,1
2021-01-15,2412,1
2021-01-15,2891,-1
2021-01-19,2454,1
2021-01-19,2881,1
2021-01-19,2308,-1
2021-01-19,1303,-1
2021-01-21,2881,-1
2021-01-22,2412,-1
2021-01-22,2330,1
2021-02-01,2330,1
2021-02-01,2412,-1
2021-02-01,2454,1
2021-02-01,2454,1
2021-02-01,2454,1
2021-02-02,2330,1
2021-02-02,2317,1
2021-02-02,2303,1
2021-02-03,2881,1
2021-02-17,2303,1
2021-02-17,2303,1
2021-02-17,2303,1
2021-02-22,2891,1
2021-02-24,2317,-1
2021-02-25,2308,1
2021-02-25,2330,1
2021-02-25,1303,1
2021-02-26,1303,1
2021-03-03,2330,-1
2021-03-03,2412,1
2021-03-03,2454,1
2021-03-04,1303,1
2021-03-04,2303,-1
2021-03-08,2317,-1
2021-03-08,2454,-1
2021-03-08,2891,1
2021-03-09,2303,1
2021-03-10,2303,1
2021-03-11,2303,-1
2021-03-12,2317,1
2021-03-19,2308,-1
2021-03-19,2330,-1
2021-03-19,2454,-1
2021-03-22,2412,1
2021-03-23,2454,-1
2021-03-26,1303,1
2021-03-30,2454,1
2021-03-31,2412,1
2021-04-01,2308,1
2021-04-07,2412,1
2021-04-07,2330,1
2021-04-07,2303,1
2021-04-09,2303,1
2021-04-09,2412,1
2021-04-09,2454,1
2021-04-12,2891,1
2021-04-13,2412,1
2021-04-13,1303,1
2021-04-19,2317,-1
2021-04-20,2454,1
2021-04-21,2330,-1
2021-04-21,1303,1
2021-04-23,2308,1
2021-04-23,2891,1
2021-04-26,2303,-1
2021-04-29,2891,1
2021-04-29,2881,1
2021-04-29,2454,-1
2021-05-03,2308,1
2021-05-05,1303,1
2021-05-06,2308,-1
2021-05-06,2330,-1
2021-05-06,2454,1
2021-05-06,2891,1
2021-05-07,2412,1
2021-05-10,2317,-1
2021-05-10,1303,1
2021-05-10,2303,-1
2021-05-10,2881,-1
2021-05-11,2881,1
2021-05-12,2454,-1
2021-05-12,2317,1
2021-05-13,2317,1
2021-05-14,2303,1
2021-05-14,1303,-1
2021-05-14,2412,-1
2021-05-17,2891,-1
2021-05-17,2303,1
2021-05-17,2317,1
2021-05-18,2881,1
2021-05-19,2454,-1
2021-05-20,2303,1
2021-05-24,2412,-1
2021-05-26,2412,-1
2021-05-27,2891,-1
2021-05-31,2412,1
2021-06-01,2891,1
2021-06-02,2330,1
2021-06-02,2317,1
2021-06-03,2308,1
2021-06-03,2303,1
2021-06-04,2308,1
2021-06-04,2330,1
2021-06-10,2454,1
2021-06-11,1303,1
2021-06-15,2412,1
2021-06-22,2412,1
2021-06-22,2454,-1
2021-06-23,2881,-1
2021-06-23,2330,1
2021-06-23,2303,1
2021-06-24,1303,-1
2021-06-28,2308,1
2021-06-29,2330,1
2021-07-01,2454,-1
2021-07-02,2891,-1
2021-07-02,2303,1
2021-07-05,2412,1
2021-07-06,1303,1
2021-07-06,2454,-1
2021-07-06,2412,-1
2021-07-08,2891,1
2021-07-12,2303,1
2021-07-12,2308,1
2021-07-19,2454,-1
2021-07-21,2891,1
2021-07-21,2308,1
2021-07-23,2303,-1
2021-07-23,2412,1
2021-07-26,2317,-1
2021-07-29,2308,-1
2021-07-30,1303,1
2021-08-03,2454,1
2021-08-05,2303,-1
2021-08-05,2330,1
2021-08-09,2308,-1
2021-08-11,2308,-1
2021-08-11,1303,1
2021-08-11,2881,1
2021-08-12,2412,1
2021-08-16,1303,-1
2021-08-17,2891,-1
2021-08-18,2303,1
2021-08-19,2881,-1
2021-08-20,2454,-1
2021-08-23,2303,1
2021-08-25,2881,1
2021-08-26,2412,-1
2021-08-27,2330,1
2021-08-31,2308,-1
2021-08-31,2454,-1
2021-09-02,2881,1
2021-09-03,2303,-1
2021-09-06,2303,-1
2021-09-06,2317,1
2021-09-06,2454,-1
2021-09-07,2317,-1
2021-09-07,2330,1
2021-09-07,2308,-1
2021-09-07,1303,1
2021-09-07,2303,1
2021-09-09,2454,-1
2021-09-09,2891,1
2021-09-10,2881,-1
2021-09-13,2454,1
2021-09-14,2891,1
2021-09-16,2891,1
2021-09-23,2891,1
2021-09-23,1303,1
2021-09-24,2303,1
2021-09-24,2454,1
2021-09-30,2330,-1
2021-10-01,2891,-1
2021-10-05,2454,-1
2021-10-05,2330,-1
2021-10-05,2303,-1
2021-10-06,1303,1
2021-10-06,2317,-1
2021-10-12,2317,-1
2021-10-12,2891,1
2021-10-13,2303,1
2021-10-15,2317,1
2021-10-19,1303,-1
2021-10-22,2308,-1
2021-10-22,2330,1
2021-10-25,2454,1
2021-10-27,2891,1
2021-10-28,2881,-1
2021-10-28,2303,-1
2021-10-29,2308,-1
2021-11-01,2308,1
2021-11-02,2317,1
2021-11-02,2891,1
2021-11-04,2303,-1
2021-11-05,2330,1
2021-11-09,2317,1
2021-11-10,2303,1
2021-11-12,2317,1
2021-11-17,2317,-1
2021-11-19,2412,1
2021-11-19,2891,1
2021-11-19,2881,1
2021-11-25,2308,1
2021-11-26,1303,-1
2021-11-30,2317,-1
2021-12-01,2412,1
2021-12-01,2303,1
2021-12-01,2303,1
2021-12-01,2303,1
2021-12-01,2454,1
2021-12-01,2454,1
2021-12-02,2308,1
2021-12-02,2330,1
2021-12-06,2881,1
2021-12-07,2330,1
2021-12-07,2317,-1
2021-12-08,2330,-1
2021-12-10,2317,-1
2021-12-14,2412,1
2021-12-14,2891,1
2021-12-15,2303,-1
2021-12-16,2881,1
2021-12-16,2454,1
2021-12-17,2881,-1
2021-12-20,1303,-1
2021-12-20,2330,-1
2021-12-21,2454,1
2021-12-23,2412,1
2021-12-27,2330,1
2021-12-28,2317,1
2021-12-28,1303,1
2021-12-30,1303,1
2022-01-04,2891,1
2022-01-05,1303,1
2022-01-14,1303,1
2022-01-14,2303,-1
2022-01-14,2891,1
2022-01-18,2303,1
2022-01-24,1303,1
2022-01-24,2317,-1
2022-01-24,2330,1
2022-01-24,2454,-1
2022-02-07,2891,1
2022-02-07,2308,-1
2022-02-07,1303,1
2022-02-07,2303,1
2022-02-08,2303,1
2022-02-10,2317,1
2022-02-11,2330,1
2022-02-14,2330,-1
2022-02-14,2303,1
2022-02-15,2303,1
2022-02-16,1303,1
2022-02-17,2454,1
2022-02-17,2881,1
2022-02-18,2412,1
2022-02-23,2891,-1
2022-02-24,2412,1
2022-03-01,2317,1
2022-03-01,1303,1
2022-03-03,2454,-1
2022-03-04,2317,1
2022-03-07,2308,-1
2022-03-07,2303,-1
2022-03-08,2317,-1
2022-03-08,2412,1
2022-03-08,2454,1
2022-03-09,2454,1
2022-03-10,1303,1
2022-03-14,2454,1
2022-03-15,2454,1
2022-03-15,2303,-1
2022-03-15,2308,-1
2022-03-16,2454,1
2022-03-18,2881,-1
2022-03-23,2308,1
2022-03-24,2317,1
2022-03-24,2891,1
2022-03-28,2303,1
2022-03-28,1303,1
2022-03-29,2308,1
2022-03-29,2412,1
2022-03-29,2454,-1
2022-03-29,2454,-1
2022-03-30,2891,1
2022-03-31,2881,1
2022-04-06,2330,-1
2022-04-07,1303,1
2022-04-07,2891,1
2022-04-08,2454,1
2022-04-12,2317,-1
2022-04-13,2308,-1
2022-04-15,1303,-1
2022-04-18,2317,-1
2022-04-20,2303,-1
2022-04-26,2891,1
2022-04-28,2412,1
2022-05-03,2308,-1
2022-05-03,2891,-1
2022-05-04,2308,-1
2022-05-06,2454,-1
2022-05-06,2412,-1
2022-05-10,2317,1
2022-05-12,2881,1
2022-05-13,2881,1
2022-05-13,2303,1
2022-05-16,2881,1
2022-05-16,2454,-1
2022-05-17,2881,1
2022-05-17,2308,-1
2022-05-18,1303,-1
2022-05-18,2412,-1
2022-05-18,2891,-1
2022-05-18,2881,-1
2022-05-19,2881,1
2022-05-19,2330,-1
2022-05-20,2881,1
2022-05-23,2881,1
2022-05-23,2330,-1
2022-05-24,2881,1
2022-05-24,2891,-1
2022-05-24,2454,-1
2022-05-25,2454,1
2022-05-25,2881,1
2022-05-26,2881,-1
2022-05-30,2303,1
2022-05-30,2303,1
2022-05-30,2303,1
2022-06-01,2330,1
2022-06-02,2317,1
2022-06-07,2317,1
2022-06-07,2308,1
2022-06-07,2412,1
2022-06-09,2891,-1
2022-06-09,2303,1
2022-06-10,1303,1
2022-06-13,2881,-1
2022-06-16,2891,1
2022-06-16,2330,-1
2022-06-17,2303,-1
2022-06-20,2308,-1
2022-06-21,2317,1
2022-06-21,2412,1
2022-06-21,1303,1
2022-06-22,2303,1
2022-06-22,2454,-1
2022-06-23,2303,1
2022-06-23,2412,1
2022-06-24,2303,1
2022-06-24,1303,1
2022-06-27,2303,1
2022-06-27,2330,-1
2022-06-27,2454,1
2022-06-28,2454,1
2022-06-28,2303,1
2022-06-29,2303,1
2022-06-29,2308,-1
2022-06-29,2454,1
2022-06-29,2891,-1
2022-06-30,2454,1
